"","Plot","Quad","x","y","Tubbs.barc.dNBR17"
"286","PPW1535","C1",525105.000000001,4271016,100
"287","PPW1535","C2",525105,4271036,105
"288","PPW1535","C3",525105,4271056,99
"289","PPW1535","C4",525105,4271076,97
"290","PPW1535","C5",525105,4271096,103
"291","PPW1535","D1",525125,4271016,100
"292","PPW1535","D2",525124.999999998,4271036,94
"293","PPW1535","D3",525125,4271056,95
"294","PPW1535","D4",525124.999999999,4271076,101
"295","PPW1535","D5",525124.999999999,4271096,106
"296","PPW1535","E1",525144.999999999,4271016,106
"297","PPW1535","E2",525145,4271036,100
"298","PPW1535","E3",525145.000000001,4271056,97
"299","PPW1535","E4",525145.000000001,4271076,111
"300","PPW1535","E5",525144.999999999,4271096,116
"301","PPW1538","A1",524917,4269672,103
"302","PPW1538","A2",524916.999999999,4269692,108
"303","PPW1538","A3",524916.999999998,4269712,110
"304","PPW1538","A4",524917.000000001,4269732,108
"305","PPW1538","A5",524917.000000001,4269752,106
"306","PPW1538","B1",524937,4269672,106
"307","PPW1538","B2",524937,4269692,106
"308","PPW1538","B3",524936.999999999,4269712,110
"309","PPW1538","B4",524937,4269732,109
"310","PPW1538","B5",524936.999999999,4269752,109
"311","PPW1538","C1",524957.000000001,4269672,107
"312","PPW1538","C2",524956.999999999,4269692,102
"313","PPW1538","C3",524957.000000001,4269712,106
"314","PPW1538","C4",524956.999999999,4269732,107
"315","PPW1538","C5",524957.000000001,4269752,107
"316","PPW1538","D1",524977,4269672,108
"317","PPW1538","D2",524977,4269692,104
"318","PPW1538","D3",524977,4269712,107
"319","PPW1538","D4",524977,4269732,107
"320","PPW1538","D5",524977.000000001,4269752,107
"321","PPW1538","E1",524997,4269672,104
"322","PPW1538","E2",524997,4269692,100
"323","PPW1538","E3",524996.999999998,4269712,104
"324","PPW1538","E4",524997,4269732,105
"325","PPW1538","E5",524997.000000001,4269752,104
"326","PPW1539","A1",524872.999999999,4269834,105
"327","PPW1539","A2",524873,4269854,105
"328","PPW1539","A3",524872.999999998,4269874,90
"329","PPW1539","A4",524873,4269894,78
"330","PPW1539","A5",524873,4269914,62
"331","PPW1539","B1",524892.999999999,4269834,98
"332","PPW1539","B2",524892.999999999,4269854,92
"333","PPW1539","B3",524892.999999999,4269874,89
"334","PPW1539","B4",524892.999999999,4269894,90
"335","PPW1539","B5",524892.999999999,4269914,94
"336","PPW1539","C1",524912.999999999,4269834,92
"337","PPW1539","C2",524913.000000001,4269854,90
"338","PPW1539","C3",524913,4269874,89
"339","PPW1539","C4",524913,4269894,79
"340","PPW1539","C5",524913.000000001,4269914,81
"341","PPW1539","D1",524933,4269834,74
"342","PPW1539","D2",524933.000000001,4269854,76
"343","PPW1539","D3",524932.999999998,4269874,79
"344","PPW1539","D4",524933,4269894,77
"345","PPW1539","D5",524933.000000001,4269914,71
"346","PPW1539","E1",524953.000000001,4269834,95
"347","PPW1539","E2",524952.999999999,4269854,65
"348","PPW1539","E3",524953,4269874,66
"349","PPW1539","E4",524953,4269894,71
"350","PPW1539","E5",524952.999999999,4269914,77
"351","PPW1540","A1",527174,4269258,113
