"","X","Plot","UTM.x","UTM.y","AEA.x","AEA.y","GEO.x","GEO.y","Tubbs.MTBS.RDNBR.30","Tubbs.MTBS.DNBR.30","Tubbs.MTBS.DNBR6.30","Kincade.MTBS.RDNBR.30","Kincade.MTBS.DNBR.30","Kincade.MTBS.DNBR6.30","Tubbs.Tukman.CanDam.10","Tubbs.Clark.RBR.30","Tubbs.BARC.dNBR.20","Tubbs.BARC.dNDVI.5","Tubbs.BARC.dNDVI4.5","Tubbs.BARC.SBS4.5"
"38",38,"PPW1338",524958.968217698,4269709.1942238,-236102.44305984,65533.4247570443,-122.713467267095,38.5754927950555,87,54,1,124,91,2,1.72992205619812,17.0842132568359,106,55,1,2
"39",39,"PPW1339",524914.039338608,4269871.48892567,-236142.148065219,65697.3469448136,-122.713977251788,38.5769566401439,86,47,1,67,40,1,15.4315986633301,31.5142822265625,89,24,1,1
"40",40,"PPW1340",527216.077232748,4269295.17686163,-233861.815601013,65047.3040417158,-122.687571816507,38.5716954217076,595,494,3,-25,-31,0,54.5174026489258,195.608489990234,125,91,2,2
"41",41,"PPW1341",527138.991177722,4269509.09920371,-233931.987885422,65263.9387396821,-122.688448391362,38.5736256236736,578,435,3,139,84,0,99.1745376586914,191.170883178711,106,99,2,2
"42",42,"PPW1342",527290.080273055,4269589.25837647,-233778.573151127,65339.4053468732,-122.686710797497,38.574343379273,943,782,4,169,106,0,98.8962554931641,491.842956542969,156,107,3,3
"43",43,"PPW1343",522967.883575765,4273416.23903607,-237972.811808783,69308.2134981859,-122.736202763893,38.6089540050362,58,29,1,-9,-23,1,1.18381404876709,13.2197751998901,91,105,2,2
"44",44,"PPW1344",522878.630101277,4272886.91316513,-238078.754714744,68781.0618455573,-122.73724526965,38.6041860951017,73,38,0,111,73,2,NA,6.45477151870728,73,74,0,NA
"45",45,"PPW1345",523416.312963283,4272232.45375475,-237562.65219662,68108.7429796238,-122.73109220202,38.5982741613524,153,103,2,-40,-47,1,5.72253894805908,68.8195266723633,83,76,2,2
"46",46,"PPW1346",524586.780822019,4270828.66262427,-236438.506954803,66666.0922001083,-122.717700498591,38.585591709443,393,286,2,24,4,1,54.0744323730469,103.74144744873,77,89,2,2
"47",47,"PPW1347",523098.845724998,4268725.45673059,-237991.089103121,64607.4348388673,-122.734854118938,38.5666777534117,-6,-25,0,150,113,2,NA,-21.4579334259033,119,114,0,NA
"48",48,"PPW1348",523400.871930461,4269032.51310769,-237679.750963778,64905.300810928,-122.73137696848,38.5694370188234,122,84,2,1,-14,1,20.9662208557129,40.3760452270508,110,111,3,3
"49",49,"PPW1349",526511.992163545,4270451.25473232,-234528.116081842,66227.1571827461,-122.695610321375,38.5821351550772,547,443,3,27,6,0,61.6858940124512,139.626495361328,115,92,2,2
"50",50,"PPW1350",523435.72328602,4269096.49960006,-237642.917720465,64968.2625231822,-122.730974757055,38.5700127414235,89,58,1,44,22,1,2.1637327671051,5.37425136566162,117,104,3,3
"51",51,"PPW1851",527208.206776392,4269567.35304139,-233861.02242477,65320.0697563593,-122.687651544302,38.5741484828261,871,719,4,107,63,0,99.1745376586914,489.350372314453,149,130,3,3
"52",52,"PPW1852",527376.767724238,4269692.87379573,-233688.719515655,65440.4002457005,-122.685711573876,38.5752744811294,917,811,4,125,68,0,99.2498016357422,522.394470214844,175,177,3,3
"53",53,"PPW1853",527397.856630863,4269631.56304172,-233669.610675001,65378.3440193338,-122.685471883444,38.5747213057742,804,670,4,16,-4,0,96.9677124023438,655.823120117188,183,143,3,3
"54",54,"PPW1854",527321.242975422,4269514.23203843,-233749.841337126,65263.2968467539,-122.686355995513,38.5736662928313,834,683,4,97,51,0,98.8962554931641,616.007263183594,168,132,3,3
