,Plot,Species,PercScorch,ScorchUnderEstimate,Notes,SA.Basal.Area,SA.Count,TR.Basal.Area,TR.Count,Year,
177,PPW1337,ARBMEN,100,,,103.2879481,25,438.8641574,10,2014,
178,PPW1337,BACPIL,NA,,,1.24422777,1,0,0,2014,
179,PPW1337,PSEMEN,5,,,1.832569535,2,27394.30867,20,2014,
180,PPW1337,QUEAGR,100,,,14.04990921,9,2.29658277,1,2014,
181,PPW1337,QUEKEL,NA,,,0,0,1209.954958,1,2014,
182,PPW1337,UMBCAL,100,,,22.19103241,7,42.63997315,1,2014,
183,PPW1338,PSEMEN,NA,,,12.92105642,7,35.78470382,1,2014,
184,PPW1338,QUEAGR,10,,,0,0,13094.02859,6,2014,
185,PPW1338,UMBCAL,NA,,,9.555546755,3,0,0,2014,
186,PPW1339,PSEMEN,NA,,,3.438787319,2,0,0,2014,
187,PPW1339,QUEAGR,40,,,1.089504332,1,12285.45733,7,2014,
188,PPW1339,QUEDOU,10,,,0,0,3717.273799,5,2014,
189,PPW1339,UMBCAL,50,,,66.39009945,21,2.573042923,1,2014,
190,PPW1340,ARBMEN,100,,,0,0,176.9290005,5,2014,
191,PPW1340,BACPIL,NA,,,5.288321454,5,0,0,2014,
192,PPW1340,NOTDEN,NA,,,0.255175863,1,69.39778172,1,2014,
193,PPW1340,PSEMEN,70,,,19.16261563,45,12018.0547,4,2014,
194,PPW1340,QUEAGR,100,,,0.567450173,1,1883.636123,4,2014,
195,PPW1340,UMBCAL,100,,,28.20945999,21,1069.294467,6,2014,
196,PPW1341,NOTDEN,NA,,,2.697607072,1,0,0,2014,
197,PPW1341,PSEMEN,70,,,5.534229619,13,12078.28689,3,2014,
198,PPW1341,QUEAGR,95,,,1.880792982,3,4386.261347,8,2014,
199,PPW1341,TORCAL,NA,,,0.848230016,1,0,0,2014,
200,PPW1341,UMBCAL,100,,,15.76710375,6,29.34946543,2,2014,
200.5,PPW1341,ARBMEN,100,,,NA,NA,NA,NA,NA,not listed in census recorded in scorch rapid surveys
201,PPW1342,NOTDEN,NA,,,1.851890329,2,39.29551215,3,2014,
202,PPW1342,PSEMEN,90,,,41.70574203,15,37562.97148,22,2014,
203,PPW1342,QUEAGR,100,,"entered as ARBMEN, high severity so maybe ID'd incorrectly",0,0,323.6874017,2,2014,
204,PPW1342,TORCAL,NA,,,9.746791208,2,0,0,2014,
205,PPW1342,UMBCAL,NA,,,9.031450561,5,4.830512864,1,2014,
206,PPW1343,ARBMEN,NA,,,21.56711211,14,0.967689077,1,2014,
207,PPW1343,CEACUN,NA,,,1.584305175,1,0,0,2014,
208,PPW1343,HETARB,NA,,,0.096211275,1,0,0,2014,
209,PPW1343,PSEMEN,0,,,37.37120811,36,16177.12989,161,2014,
210,PPW1343,QUEAGR,NA,,,0.606013223,3,0,0,2014,
211,PPW1343,QUEKEL,0,,recorded as QUEGAR in scorch survey,0,0,5399.262871,9,2014,
212,PPW1343,UMBCAL,0,,,20.3143235,58,597.5093243,2,2014,
213,PPW1344,QUEDOU,0,,,0,0,7435.527383,5,2014,
214,PPW1344,QUEKEL,0,,,0,0,1590.431281,1,2014,
215,PPW1345,ARBMEN,NA,,,0,0,169.7265066,1,2014,
216,PPW1345,ARCMAN,80,,,0,0,1074.546189,6,2014,
217,PPW1345,BACPIL,NA,,,4.227327075,1,0,0,2014,
218,PPW1345,HETARB,50,,,102.9788154,16,846.9831969,32,2014,
219,PPW1345,PSEMEN,20,,,3.438787319,2,73.89811319,1,2014,
220,PPW1345,QUEAGR,NA,,,15.89276746,12,398.0748965,3,2014,
221,PPW1345,QUEDOU,10,,"only QUEGAR recorded in field, applied to both",0,0,2784.370007,6,2014,
222,PPW1345,QUEGAR,10,,,0,0,7611.872833,10,2014,
223,PPW1345,UMBCAL,100,,,22.96999031,10,31.17245311,1,2014,
224,PPW1346,ADEFAS,100,,,0,0,16.37586587,2,2014,
225,PPW1346,AMOCAL,NA,,,279.8459265,28,203.8325789,7,2014,
226,PPW1346,ARCMAN,NA,,,3.034935583,1,0,0,2014,
227,PPW1346,CEACUN,NA,,,12.53471907,15,0,0,2014,
228,PPW1346,HETARB,100,,,13.54882518,7,97.95564434,3,2014,
229,PPW1346,QUEAGR,NA,,,4.987592497,1,3.004147975,1,2014,
230,PPW1346,QUEGAR,10,,,2.002843856,2,7325.263371,14,2014,
231,PPW1346,QUEKEL,NA,,,0,0,289.529179,1,2014,
232,PPW1346,UMBCAL,80,,,0.520326283,2,2544.656513,10,2014,
233,PPW1347,AMOCAL,0,,,60.09811768,16,13.78648666,6,2014,
234,PPW1347,PSEMEN,0,,,0,0,9311.892683,4,2014,
235,PPW1347,QUEAGR,0,,,3.444442185,4,173.2686523,4,2014,
236,PPW1347,QUEGAR,0,,,0,0,1473.444261,3,2014,
