PROJECT,PointID,RBR_MEAN,Canopy_Damage_Percent_MEAN,Soil_Burn_Severity_MEAN,Dfir_Treatment,VegComm,Slope_measured,NPSBurnSevSubstrate,NPSBurnSevVegetation,EvidenceD-firEncroachment,plot.scorch
ForDyn,PPW1338,9.794481,1.795778,2,,,13,,,,9.95570254
ForDyn,PPW1339,45.55477,15.26149,1,,,28,,,,33.0974995
ForDyn,PPW1340,154.2514,58.31155,2.25,,,9.5,,,,75.8617253
ForDyn,PPW1341,180.7085,70.52714,2.1875,,,14,,,,76.707303
ForDyn,PPW1342,465.1592,98.89626,2.875,,,7,,,,89.9317987
ForDyn,PPW1343,13.12204,1.242456,2.25,,,26.5,,,,0
ForDyn,PPW1344,4.149842,0,0,,,24,,,,0
ForDyn,PPW1345,68.80919,5.585221,2,,,24,,,,18.5983548
ForDyn,PPW1346,85.79412,53.76238,2,,,24,,,,26.8289675
ForDyn,PPW1347,-21.9324,0,0,,,25,,,,0
ForDyn,PPW1348,51.01344,16.8533,3,,,24,,,,21.3710276
ForDyn,PPW1349,162.7323,82.95196,2.0625,,,11,,,,24.5705241
ForDyn,PPW1350,4.754662,2.163733,2.5625,,,26.5,,,,25.0280864
ForDyn,PPW1851,490.2389,99.17454,3,,,,,,,
ForDyn,PPW1852,543.3053,99.2498,3,,,,,,,
ForDyn,PPW1853,626.4438,97.04868,3.25,,,,,,,
ForDyn,PPW1854,621.6495,98.52019,3,,,,,,,
