,Plot,Species,Type,Basal.Area,Count,Year,PercScorch
156,PPW1342,UMBCAL,TR,4.830512864,1,2014,
157,PPW1343,ARBMEN,TR,0.967689077,1,2014,
158,PPW1343,PSEMEN,TR,16177.12989,161,2014,
159,PPW1343,QUEKEL,TR,5399.262871,9,2014,
160,PPW1343,UMBCAL,TR,597.5093243,2,2014,
161,PPW1344,QUEDOU,TR,7435.527383,5,2014,
162,PPW1344,QUEKEL,TR,1590.431281,1,2014,
163,PPW1345,ARBMEN,TR,169.7265066,1,2014,
164,PPW1345,ARCMAN,TR,1074.546189,6,2014,
165,PPW1345,HETARB,TR,846.9831969,32,2014,
166,PPW1345,PSEMEN,TR,73.89811319,1,2014,
167,PPW1345,QUEAGR,TR,398.0748965,3,2014,
168,PPW1345,QUEDOU,TR,2784.370007,6,2014,
169,PPW1345,QUEGAR,TR,7611.872833,10,2014,
170,PPW1345,UMBCAL,TR,31.17245311,1,2014,
171,PPW1346,ADEFAS,TR,16.37586587,2,2014,
172,PPW1346,AMOCAL,TR,203.8325789,7,2014,
173,PPW1346,HETARB,TR,97.95564434,3,2014,
174,PPW1346,QUEAGR,TR,3.004147975,1,2014,
175,PPW1346,QUEGAR,TR,7325.263371,14,2014,
176,PPW1346,QUEKEL,TR,289.529179,1,2014,
177,PPW1346,UMBCAL,TR,2544.656513,10,2014,
178,PPW1347,AMOCAL,TR,13.78648666,6,2014,
179,PPW1347,PSEMEN,TR,9311.892683,4,2014,
180,PPW1347,QUEAGR,TR,173.2686523,4,2014,
181,PPW1347,QUEGAR,TR,1473.444261,3,2014,
182,PPW1347,QUEKEL,TR,359.6809429,1,2014,
183,PPW1347,UMBCAL,TR,255.4542084,25,2014,
184,PPW1348,AMOCAL,TR,7.93252145,6,2014,
185,PPW1348,HETARB,TR,207.8160399,7,2014,
186,PPW1348,PSEMEN,TR,2065.683014,18,2014,
187,PPW1348,QUEAGR,TR,518.8811506,3,2014,
188,PPW1348,QUEGAR,TR,7432.156061,32,2014,
189,PPW1348,QUEKEL,TR,1299.637611,6,2014,
190,PPW1348,UMBCAL,TR,22.2874793,2,2014,
191,PPW1349,NOTDEN,TR,455.3444027,1,2014,
192,PPW1349,PSEMEN,TR,1596.510263,3,2014,
193,PPW1349,QUEAGR,TR,2526.657308,3,2014,
194,PPW1349,QUEKEL,TR,6604.326762,1,2014,
195,PPW1350,HETARB,TR,267.5598644,18,2014,
196,PPW1350,PSEMEN,TR,14088.89865,29,2014,
197,PPW1350,QUEAGR,TR,1513.929573,4,2014,
198,PPW1350,QUEGAR,TR,571.4635577,2,2014,
199,PPW1350,QUEKEL,TR,1032.877125,3,2014,
200,PPW1350,UMBCAL,TR,1.916371519,2,2014,
