"","Plot","Quad","x","y","Tubbs.clark.RBR"
"283","PPW1535","B3",-2274698.14965655,2050497.33267217,44.829719543457
"284","PPW1535","B4",-2274692.48599175,2050516.72485611,40.8610954284668
"285","PPW1535","B5",-2274686.82232692,2050536.11703927,40.8610954284668
"286","PPW1535","C1",-2274690.45703547,2050452.9908461,96.8603820800781
"287","PPW1535","C2",-2274684.79337013,2050472.38303114,53.6747856140137
"288","PPW1535","C3",-2274679.12970475,2050491.7752154,44.829719543457
"289","PPW1535","C4",-2274673.46603934,2050511.16739889,74.4716796875
"290","PPW1535","C5",-2274667.80237389,2050530.55958161,65.9315795898438
"291","PPW1535","D1",-2274671.43708588,2050447.43338777,52.9119987487793
"292","PPW1535","D2",-2274665.77341992,2050466.82557236,58.2010841369629
"293","PPW1535","D3",-2274660.10975392,2050486.21775618,74.4716796875
"294","PPW1535","D4",-2274654.44608789,2050505.60993922,74.4716796875
"295","PPW1535","D5",-2274648.78242182,2050525.0021215,65.9315795898438
"296","PPW1535","E1",-2274652.41713725,2050441.87592699,52.9119987487793
"297","PPW1535","E2",-2274646.75347067,2050461.26811113,58.2010841369629
"298","PPW1535","E3",-2274641.08980406,2050480.66029451,40.9644775390625
"299","PPW1535","E4",-2274635.42613741,2050500.05247711,42.5002517700195
"300","PPW1535","E5",-2274629.76247072,2050519.44465894,52.1088180541992
"301","PPW1538","A1",-2275249.84244664,2049202.07396196,18.5710163116455
"302","PPW1538","A2",-2275244.17878958,2049221.46620258,2.59512758255005
"303","PPW1538","A3",-2275238.51513249,2049240.85844244,3.02748680114746
"304","PPW1538","A4",-2275232.85147535,2049260.25068154,3.30229544639587
"305","PPW1538","A5",-2275227.18781818,2049279.64291989,3.30229544639587
"306","PPW1538","B1",-2275230.82252903,2049196.51655626,2.59512758255005
"307","PPW1538","B2",-2275225.15887137,2049215.90879644,2.59512758255005
"308","PPW1538","B3",-2275219.49521367,2049235.30103586,3.02748680114746
"309","PPW1538","B4",-2275213.83155593,2049254.69327452,17.0842132568359
"310","PPW1538","B5",-2275208.16789815,2049274.08551243,11.2830543518066
"311","PPW1538","C1",-2275211.80261237,2049190.95914812,-6.6241979598999
"312","PPW1538","C2",-2275206.13895411,2049210.35138786,10.0340261459351
"313","PPW1538","C3",-2275200.4752958,2049229.74362684,17.0842132568359
"314","PPW1538","C4",-2275194.81163746,2049249.13586506,17.0842132568359
"315","PPW1538","C5",-2275189.14797907,2049268.52810254,11.2830543518066
"316","PPW1538","D1",-2275192.78269668,2049185.40173755,-6.6241979598999
"317","PPW1538","D2",-2275187.11903781,2049204.79397685,10.0340261459351
"318","PPW1538","D3",-2275181.4553789,2049224.18621539,-20.3081817626953
"319","PPW1538","D4",-2275175.79171995,2049243.57845317,12.4250392913818
"320","PPW1538","D5",-2275170.12806096,2049262.9706902,6.48512744903564
"321","PPW1538","E1",-2275173.76278195,2049179.84432454,9.7920560836792
"322","PPW1538","E2",-2275168.09912248,2049199.2365634,-20.3081817626953
"323","PPW1538","E3",-2275162.43546297,2049218.6288015,-20.3081817626953
"324","PPW1538","E4",-2275156.77180341,2049238.02103885,12.4250392913818
"325","PPW1538","E5",-2275151.10814381,2049257.41327544,41.6071357727051
"326","PPW1539","A1",-2275245.81065629,2049371.37738096,2.55454158782959
"327","PPW1539","A2",-2275240.14700025,2049390.76961639,10.3920154571533
"328","PPW1539","A3",-2275234.48334418,2049410.16185107,12.9660997390747
"329","PPW1539","A4",-2275228.81968806,2049429.55408499,12.9660997390747
"330","PPW1539","A5",-2275223.15603192,2049448.94631814,71.7194213867188
"331","PPW1539","B1",-2275226.79073166,2049365.81997706,20.214204788208
"332","PPW1539","B2",-2275221.12707501,2049385.21221205,10.3920154571533
"333","PPW1539","B3",-2275215.46341834,2049404.60444629,10.3920154571533
"334","PPW1539","B4",-2275209.79976162,2049423.99667976,29.5476264953613
"335","PPW1539","B5",-2275204.13610486,2049443.38891248,55.978099822998
"336","PPW1539","C1",-2275207.77080799,2049360.26257071,21.4457702636719
"337","PPW1539","C2",-2275202.10715074,2049379.65480527,31.5142822265625
"338","PPW1539","C3",-2275196.44349345,2049399.04703907,31.5142822265625
"339","PPW1539","C4",-2275190.77983613,2049418.43927211,29.5476264953613
"340","PPW1539","C5",-2275185.11617876,2049437.83150438,55.978099822998
"341","PPW1539","D1",-2275188.75088528,2049354.70516194,21.4457702636719
"342","PPW1539","D2",-2275183.08722742,2049374.09739606,66.2634963989258
"343","PPW1539","D3",-2275177.42356953,2049393.48962942,87.6762313842773
"344","PPW1539","D4",-2275171.7599116,2049412.88186201,50.8114166259766
"345","PPW1539","D5",-2275166.09625363,2049432.27409385,50.8114166259766
"346","PPW1539","E1",-2275169.73096353,2049349.14775073,66.2634963989258
"347","PPW1539","E2",-2275164.06730507,2049368.53998441,66.2634963989258
"348","PPW1539","E3",-2275158.40364657,2049387.93221733,87.6762313842773
"349","PPW1539","E4",-2275152.73998803,2049407.32444949,93.488037109375
"350","PPW1539","E5",-2275147.07632946,2049426.71668088,93.488037109375
"351","PPW1540","A1",-2273220.68994375,2048173.48687564,93.5753631591797
"352","PPW1540","A2",-2273215.02622009,2048192.87908129,153.201278686523
"353","PPW1540","A3",-2273209.36249637,2048212.27128618,137.730331420898
"354","PPW1540","A4",-2273203.69877259,2048231.6634903,160.080139160156
"355","PPW1540","A5",-2273198.03504874,2048251.05569366,209.211547851562
"356","PPW1540","B1",-2273201.67014808,2048167.92920509,135.208557128906
"357","PPW1540","B2",-2273196.00642383,2048187.32141027,131.982238769531
"358","PPW1540","B3",-2273190.34269951,2048206.7136147,160.080139160156
"359","PPW1540","B4",-2273184.67897514,2048226.10581836,160.080139160156
"360","PPW1540","B5",-2273179.01525069,2048245.49802127,209.211547851562
"361","PPW1540","C1",-2273182.65035339,2048162.37153211,135.208557128906
"362","PPW1540","C2",-2273176.98662854,2048181.76373683,131.982238769531
"363","PPW1540","C3",-2273171.32290363,2048201.1559408,195.608489990234
"364","PPW1540","C4",-2273165.65917866,2048220.548144,246.672317504883
"365","PPW1540","C5",-2273159.99545363,2048239.94034645,295.814147949219
"366","PPW1540","D1",-2273163.63055968,2048156.8138567,107.785736083984
"367","PPW1540","D2",-2273157.96683424,2048176.20606097,195.608489990234
"368","PPW1540","D3",-2273152.30310874,2048195.59826448,195.608489990234
"369","PPW1540","D4",-2273146.63938317,2048214.99046722,246.672317504883
"370","PPW1540","D5",-2273140.97565754,2048234.3826692,227.070388793945
"371","PPW1540","E1",-2273144.61076695,2048151.25617888,161.146820068359
"372","PPW1540","E2",-2273138.94704092,2048170.64838268,161.146820068359
"373","PPW1540","E3",-2273133.28331482,2048190.04058573,191.530914306641
"374","PPW1540","E4",-2273127.61958866,2048209.43278801,227.070388793945
"375","PPW1540","E5",-2273121.95586243,2048228.82498954,227.070388793945
"376","PPW1544","A1",-2276327.97382571,2052861.45540064,17.8251247406006
"377","PPW1544","A2",-2276322.31022957,2052880.84756377,36.2210464477539
"378","PPW1544","A3",-2276316.64663341,2052900.23972612,-24.7781963348389
"379","PPW1544","A4",-2276310.98303725,2052919.63188768,40.1975860595703
"380","PPW1544","A5",-2276305.31944108,2052939.02404846,40.1975860595703
